id,nombre,contenido,seccion,contenido_upper,favorito,marca,camino
12,ARTICULO 12,"La  autoridad  administrativa  tiene  la obligación de proteger y mantener en buen estado las vías que le han sido asignadas y en tal sentido planifica en su
presupuesto los recursos requeridos para ello.",7,"LA  AUTORIDAD  ADMINISTRATIVA  TIENE  LA OBLIGACION DE PROTEGER Y MANTENER EN BUEN ESTADO LAS VIAS QUE LE HAN SIDO ASIGNADAS Y EN TAL SENTIDO PLANIFICA EN SU
PRESUPUESTO LOS RECURSOS REQUERIDOS PARA ELLO.",,0,-3-6-7-
13,ARTICULO 13,"La autoridad administrativa, en consulta con los ministerios del Transporte y del Interior:<BR>
1)  puede reordenar los accesos e intersecciones existentes con el objeto de mejorar la explotación y seguridad de las vías;
<BR>
2)  autoriza la ejecución de los nuevos accesos a las vías y el reordenamiento de las intersecciones.
El proyecto de intersecciones debe poseer las características que se correspondan con las normas establecidas para la vía a que se incorpore.
",7,"LA AUTORIDAD ADMINISTRATIVA, EN CONSULTA CON LOS MINISTERIOS DEL TRANSPORTE Y DEL INTERIOR:<BR>
1)  PUEDE REORDENAR LOS ACCESOS E INTERSECCIONES EXISTENTES CON EL OBJETO DE MEJORAR LA EXPLOTACION Y SEGURIDAD DE LAS VIAS;
<BR>
2)  AUTORIZA LA EJECUCION DE LOS NUEVOS ACCESOS A LAS VIAS Y EL REORDENAMIENTO DE LAS INTERSECCIONES.
EL PROYECTO DE INTERSECCIONES DEBE POSEER LAS CARACTERISTICAS QUE SE CORRESPONDAN CON LAS NORMAS ESTABLECIDAS PARA LA VIA A QUE SE INCORPORE.
",,0,-3-6-7-
14,ARTICULO 14,"La autoridad administrativa, de conjunto con los ministerios del Interior y del Transporte, puede limitar la circulación de vehículos, en zonas urbanas, en vías, tramos de estas, días y horas, por razones que afecten la circulación del tránsito, la seguridad de las vías u otras. Determina las vías en las que por razones justificadas, se
necesite en forma temporal o permanente, restringir la circulación pública a vehículos y peatones.
Cuando se requiera limitar la circulación por una vía de forma urgente, por razones relacionadas con la defensa y el orden interior, se ejecuta de inmediato por el Ministerio del Interior. De ser necesario extender el cierre de la vía, se realizan posteriormente las coordinaciones pertinentes.",7,"LA AUTORIDAD ADMINISTRATIVA, DE CONJUNTO CON LOS MINISTERIOS DEL INTERIOR Y DEL TRANSPORTE, PUEDE LIMITAR LA CIRCULACION DE VEHICULOS, EN ZONAS URBANAS, EN VIAS, TRAMOS DE ESTAS, DIAS Y HORAS, POR RAZONES QUE AFECTEN LA CIRCULACION DEL TRANSITO, LA SEGURIDAD DE LAS VIAS U OTRAS. DETERMINA LAS VIAS EN LAS QUE POR RAZONES JUSTIFICADAS, SE
NECESITE EN FORMA TEMPORAL O PERMANENTE, RESTRINGIR LA CIRCULACION PUBLICA A VEHICULOS Y PEATONES.
CUANDO SE REQUIERA LIMITAR LA CIRCULACION POR UNA VIA DE FORMA URGENTE, POR RAZONES RELACIONADAS CON LA DEFENSA Y EL ORDEN INTERIOR, SE EJECUTA DE INMEDIATO POR EL MINISTERIO DEL INTERIOR. DE SER NECESARIO EXTENDER EL CIERRE DE LA VIA, SE REALIZAN POSTERIORMENTE LAS COORDINACIONES PERTINENTES.",,0,-3-6-7-
15,ARTICULO 15,"La autoridad administrativa de las vías de interés específico puede restringir o limitar la circulación por estas, previa autorización del Consejo de la Administración del Poder Popular, correspondiente.",7,"LA AUTORIDAD ADMINISTRATIVA DE LAS VIAS DE INTERES ESPECIFICO PUEDE RESTRINGIR O LIMITAR LA CIRCULACION POR ESTAS, PREVIA AUTORIZACION DEL CONSEJO DE LA ADMINISTRACION DEL PODER POPULAR, CORRESPONDIENTE.",,0,-3-6-7-
16,ARTICULO 16,"El proyecto para la construcción vial se elabora a partir de la tarea de proyección de acuerdo con el reglamento del proceso inversionista, los documentos técnico normativos y de conformidad con el plan nacional de inversiones viales.",8,"EL PROYECTO PARA LA CONSTRUCCION VIAL SE ELABORA A PARTIR DE LA TAREA DE PROYECCION DE ACUERDO CON EL REGLAMENTO DEL PROCESO INVERSIONISTA, LOS DOCUMENTOS TECNICO NORMATIVOS Y DE CONFORMIDAD CON EL PLAN NACIONAL DE INVERSIONES VIALES.",,0,-3-6-8-
17,ARTICULO 17,"Además de los aspectos técnicos de trazado, el proyecto vial incluye el diseño de los accesos y de las intersecciones a la vía proyectada y la señalización, previa consulta a los ministerios del Transporte y del Interior.",8,"ADEMAS DE LOS ASPECTOS TECNICOS DE TRAZADO, EL PROYECTO VIAL INCLUYE EL DISENO DE LOS ACCESOS Y DE LAS INTERSECCIONES A LA VIA PROYECTADA Y LA SENALIZACION, PREVIA CONSULTA A LOS MINISTERIOS DEL TRANSPORTE Y DEL INTERIOR.",,0,-3-6-8-
18,ARTICULO 18,"Son inversionistas en la construcción de nuevas vías:<BR>
1)  el Ministerio del Transporte, en las vías de interés
nacional;<BR>
2)  los Consejos de la Administración del Poder Popular en las vías de interés provincial o municipal, según corresponda;<BR>
3)  la autoridad administrativa correspondiente en las vías de interés específico; y<BR>
4)  otras entidades autorizadas, excepcionalmente, por el
Consejo de Ministros.
",8,"SON INVERSIONISTAS EN LA CONSTRUCCION DE NUEVAS VIAS:<BR>
1)  EL MINISTERIO DEL TRANSPORTE, EN LAS VIAS DE INTERES
NACIONAL;<BR>
2)  LOS CONSEJOS DE LA ADMINISTRACION DEL PODER POPULAR EN LAS VIAS DE INTERES PROVINCIAL O MUNICIPAL, SEGUN CORRESPONDA;<BR>
3)  LA AUTORIDAD ADMINISTRATIVA CORRESPONDIENTE EN LAS VIAS DE INTERES ESPECIFICO; Y<BR>
4)  OTRAS ENTIDADES AUTORIZADAS, EXCEPCIONALMENTE, POR EL
CONSEJO DE MINISTROS.
",,0,-3-6-8-
19,ARTICULO 19,"El Ministerio de la Construcción elabora o aprueba el proyecto y construye las vías rurales y urbanas que por su complejidad técnica, requieren de su participación.
",8,"EL MINISTERIO DE LA CONSTRUCCION ELABORA O APRUEBA EL PROYECTO Y CONSTRUYE LAS VIAS RURALES Y URBANAS QUE POR SU COMPLEJIDAD TECNICA, REQUIEREN DE SU PARTICIPACION.
",,0,-3-6-8-
21,ARTICULO 21,"La reconstrucción comprende la modificación desde la subrasante o terreno de cimentación hasta todo el pavimento, para adecuar la capacidad y la resistencia del conjunto a las normas que corresponden a una categoría de vía superior a la existente, con los consiguientes cambios geométricos y estructurales.
La reconstrucción incluye cuantos componentes de la vía sean necesarios para alcanzar las normas de la categoría de
la vía superior.
",8,"LA RECONSTRUCCION COMPRENDE LA MODIFICACION DESDE LA SUBRASANTE O TERRENO DE CIMENTACION HASTA TODO EL PAVIMENTO, PARA ADECUAR LA CAPACIDAD Y LA RESISTENCIA DEL CONJUNTO A LAS NORMAS QUE CORRESPONDEN A UNA CATEGORIA DE VIA SUPERIOR A LA EXISTENTE, CON LOS CONSIGUIENTES CAMBIOS GEOMETRICOS Y ESTRUCTURALES.
LA RECONSTRUCCION INCLUYE CUANTOS COMPONENTES DE LA VIA SEAN NECESARIOS PARA ALCANZAR LAS NORMAS DE LA CATEGORIA DE
LA VIA SUPERIOR.
",,0,-3-6-8-
22,ARTICULO 22,"Son inversionistas de las obras de reconstrucción:<BR>
1)  el Ministerio del Transporte, en las vías de interés nacional;<BR>
2)  los Consejos de la Administración del Poder Popular en
las vías de interés provincial o municipal, según corresponda;<BR>
3)  la autoridad administrativa correspondiente, en las vías de interés específico; y<BR>
4)  otras entidades autorizadas, excepcionalmente, por el
Consejo de Ministros.
",8,"SON INVERSIONISTAS DE LAS OBRAS DE RECONSTRUCCION:<BR>
1)  EL MINISTERIO DEL TRANSPORTE, EN LAS VIAS DE INTERES NACIONAL;<BR>
2)  LOS CONSEJOS DE LA ADMINISTRACION DEL PODER POPULAR EN
LAS VIAS DE INTERES PROVINCIAL O MUNICIPAL, SEGUN CORRESPONDA;<BR>
3)  LA AUTORIDAD ADMINISTRATIVA CORRESPONDIENTE, EN LAS VIAS DE INTERES ESPECIFICO; Y<BR>
4)  OTRAS ENTIDADES AUTORIZADAS, EXCEPCIONALMENTE, POR EL
CONSEJO DE MINISTROS.
",,0,-3-6-8-
23,ARTICULO 23,"Los proyectos y ejecución de las re construcciones de las vías rurales y urbanas de mayor complejidad técnica, requieren la aprobación y participación del Ministerio de la Construcción.
",8,"LOS PROYECTOS Y EJECUCION DE LAS RE CONSTRUCCIONES DE LAS VIAS RURALES Y URBANAS DE MAYOR COMPLEJIDAD TECNICA, REQUIEREN LA APROBACION Y PARTICIPACION DEL MINISTERIO DE LA CONSTRUCCION.
",,0,-3-6-8-
24,ARTICULO 24,"Toda obra de construcción y reconstrucción vial debe incluir un estudio de impacto ambiental.
El Ministerio de Ciencia, Tecnología y Medio Ambiente,
como órgano rector en la materia, es el organismo autorizado a entregar la licencia ambiental de las obras viales mencionadas.
",8,"TODA OBRA DE CONSTRUCCION Y RECONSTRUCCION VIAL DEBE INCLUIR UN ESTUDIO DE IMPACTO AMBIENTAL.
EL MINISTERIO DE CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE,
COMO ORGANO RECTOR EN LA MATERIA, ES EL ORGANISMO AUTORIZADO A ENTREGAR LA LICENCIA AMBIENTAL DE LAS OBRAS VIALES MENCIONADAS.
",,0,-3-6-8-
25,ARTICULO 25,"Las obras de conservación se realizan para subsanar los deterioros progresivos y normales originados por la explotación de la vía, la acción de la naturaleza o el hombre. Tienen como objetivo mantener la vía en el estado en que fue construida, sin modificar de forma extensa o generalizada el diseño original de la obra. Por su complejidad se dividen en obras de reparación y de mantenimiento. ",9,"LAS OBRAS DE CONSERVACION SE REALIZAN PARA SUBSANAR LOS DETERIOROS PROGRESIVOS Y NORMALES ORIGINADOS POR LA EXPLOTACION DE LA VIA, LA ACCION DE LA NATURALEZA O EL HOMBRE. TIENEN COMO OBJETIVO MANTENER LA VIA EN EL ESTADO EN QUE FUE CONSTRUIDA, SIN MODIFICAR DE FORMA EXTENSA O GENERALIZADA EL DISENO ORIGINAL DE LA OBRA. POR SU COMPLEJIDAD SE DIVIDEN EN OBRAS DE REPARACION Y DE MANTENIMIENTO. ",,0,-3-6-9-
26,ARTICULO 26,La reparación es la obra de conservación que tiene como objetivo subsanar las destrucciones ocurridas en la vía durante el proceso de explotación. ,9,LA REPARACION ES LA OBRA DE CONSERVACION QUE TIENE COMO OBJETIVO SUBSANAR LAS DESTRUCCIONES OCURRIDAS EN LA VIA DURANTE EL PROCESO DE EXPLOTACION. ,,0,-3-6-9-
27,ARTICULO 27,"Para su mejor planificación, organización, ejecución y control, la reparación se subdivide en capital, media y corriente. El alcance de cada tipo se determina por los documentos técnicos normativos y tiene las implicaciones financieras que de estas se deriven.
",9,"PARA SU MEJOR PLANIFICACION, ORGANIZACION, EJECUCION Y CONTROL, LA REPARACION SE SUBDIVIDE EN CAPITAL, MEDIA Y CORRIENTE. EL ALCANCE DE CADA TIPO SE DETERMINA POR LOS DOCUMENTOS TECNICOS NORMATIVOS Y TIENE LAS IMPLICACIONES FINANCIERAS QUE DE ESTAS SE DERIVEN.
",,0,-3-6-9-
28,ARTICULO 28,"El mantenimiento es la obra de conservación que tiene como objetivo el cuidado sistemático y preventivo de todas las estructuras viales e incluye la señalización, para evitar su deterioro prematuro. Durante su ejecución el pavimento no sufre modificación alguna como estructura vial.
",9,"EL MANTENIMIENTO ES LA OBRA DE CONSERVACION QUE TIENE COMO OBJETIVO EL CUIDADO SISTEMATICO Y PREVENTIVO DE TODAS LAS ESTRUCTURAS VIALES E INCLUYE LA SENALIZACION, PARA EVITAR SU DETERIORO PREMATURO. DURANTE SU EJECUCION EL PAVIMENTO NO SUFRE MODIFICACION ALGUNA COMO ESTRUCTURA VIAL.
",,0,-3-6-9-
29,ARTICULO 29,"Las obras de reparación y mantenimiento son ejecutadas por la persona jurídica contratada por el organismo, órgano o entidad subordinada a la autoridad administrativa correspondiente, o por esta cuando proceda, de conformidad con las disposiciones legales vigentes.
",9,"LAS OBRAS DE REPARACION Y MANTENIMIENTO SON EJECUTADAS POR LA PERSONA JURIDICA CONTRATADA POR EL ORGANISMO, ORGANO O ENTIDAD SUBORDINADA A LA AUTORIDAD ADMINISTRATIVA CORRESPONDIENTE, O POR ESTA CUANDO PROCEDA, DE CONFORMIDAD CON LAS DISPOSICIONES LEGALES VIGENTES.
",,0,-3-6-9-
30,ARTICULO 30,"Para realizar obras de reparación total o parcial en la vía, instalaciones, reparaciones y mantenimientos de redes técnicas, u otras que la afecten se requiere, previamente:<BR>
1)  obtener de la autoridad competente la licencia de obra,
la cual se otorga después que la autoridad administrativa de la vía haya emitido la autorización correspondiente y previo haberse acreditado que la entidad que realiza
el trabajo posee todos los recursos requeridos para restablecer la vía a su estado original;<BR>
2)  obtener el permiso o autorización del cierre parcial o total, del órgano encargado de la seguridad del tránsito
o en su defecto de la Unidad competente de la Policía
Nacional Revolucionaria;<BR>
3)  situar las señales y adoptar las medidas de protección correspondientes, con la debida autorización de los órganos especializados de ingeniería y seguridad del tránsito, a fin de garantizar la seguridad del personal de la obra y de la circulación en general de la vía.
Los permisos mencionados se obtienen con antelación al depósito de los materiales necesarios para realizar la obra y en ellos se expresan las fechas del comienzo y terminación
de esta.<BR>
Cuando las obras a que se hace referencia en este artículo
son de carácter urgente, los encargados de realizarlas lo comunican de inmediato a la dependencia competente del órgano encargado de la seguridad del tránsito o en su defecto a la Unidad correspondiente de la Policía Nacional Revolucionaria, lo que no excluye la solicitud de la licencia de obra dentro del siguiente día hábil, acompañada de la fundamentación de la urgencia.
<BR>
El autorizado a realizar obras en la vía está obligado a restablecerla a su estado original y cumplir los requerimientos técnicos y de calidad establecidos.
",9,"PARA REALIZAR OBRAS DE REPARACION TOTAL O PARCIAL EN LA VIA, INSTALACIONES, REPARACIONES Y MANTENIMIENTOS DE REDES TECNICAS, U OTRAS QUE LA AFECTEN SE REQUIERE, PREVIAMENTE:<BR>
1)  OBTENER DE LA AUTORIDAD COMPETENTE LA LICENCIA DE OBRA,
LA CUAL SE OTORGA DESPUES QUE LA AUTORIDAD ADMINISTRATIVA DE LA VIA HAYA EMITIDO LA AUTORIZACION CORRESPONDIENTE Y PREVIO HABERSE ACREDITADO QUE LA ENTIDAD QUE REALIZA
EL TRABAJO POSEE TODOS LOS RECURSOS REQUERIDOS PARA RESTABLECER LA VIA A SU ESTADO ORIGINAL;<BR>
2)  OBTENER EL PERMISO O AUTORIZACION DEL CIERRE PARCIAL O TOTAL, DEL ORGANO ENCARGADO DE LA SEGURIDAD DEL TRANSITO
O EN SU DEFECTO DE LA UNIDAD COMPETENTE DE LA POLICIA
NACIONAL REVOLUCIONARIA;<BR>
3)  SITUAR LAS SENALES Y ADOPTAR LAS MEDIDAS DE PROTECCION CORRESPONDIENTES, CON LA DEBIDA AUTORIZACION DE LOS ORGANOS ESPECIALIZADOS DE INGENIERIA Y SEGURIDAD DEL TRANSITO, A FIN DE GARANTIZAR LA SEGURIDAD DEL PERSONAL DE LA OBRA Y DE LA CIRCULACION EN GENERAL DE LA VIA.
LOS PERMISOS MENCIONADOS SE OBTIENEN CON ANTELACION AL DEPOSITO DE LOS MATERIALES NECESARIOS PARA REALIZAR LA OBRA Y EN ELLOS SE EXPRESAN LAS FECHAS DEL COMIENZO Y TERMINACION
DE ESTA.<BR>
CUANDO LAS OBRAS A QUE SE HACE REFERENCIA EN ESTE ARTICULO
SON DE CARACTER URGENTE, LOS ENCARGADOS DE REALIZARLAS LO COMUNICAN DE INMEDIATO A LA DEPENDENCIA COMPETENTE DEL ORGANO ENCARGADO DE LA SEGURIDAD DEL TRANSITO O EN SU DEFECTO A LA UNIDAD CORRESPONDIENTE DE LA POLICIA NACIONAL REVOLUCIONARIA, LO QUE NO EXCLUYE LA SOLICITUD DE LA LICENCIA DE OBRA DENTRO DEL SIGUIENTE DIA HABIL, ACOMPANADA DE LA FUNDAMENTACION DE LA URGENCIA.
<BR>
EL AUTORIZADO A REALIZAR OBRAS EN LA VIA ESTA OBLIGADO A RESTABLECERLA A SU ESTADO ORIGINAL Y CUMPLIR LOS REQUERIMIENTOS TECNICOS Y DE CALIDAD ESTABLECIDOS.
",,0,-3-6-9-
31,ARTICULO 31,"Los consejos de la administración provinciales y municipales del Poder Popular, conforme a sus respectivas competencias, supervisan la ejecución de las obras a que se refiere el artículo anterior y garantizan la necesaria coordinación entre la ejecución de los planes de construcción, reconstrucción, reparación, mantenimiento de las redes soterradas, la ejecución de los trabajos de señalización y de vialidad urbana. A tales efectos, determinan la
autoridad facultada para otorgar la licencia de obra.

",9,"LOS CONSEJOS DE LA ADMINISTRACION PROVINCIALES Y MUNICIPALES DEL PODER POPULAR, CONFORME A SUS RESPECTIVAS COMPETENCIAS, SUPERVISAN LA EJECUCION DE LAS OBRAS A QUE SE REFIERE EL ARTICULO ANTERIOR Y GARANTIZAN LA NECESARIA COORDINACION ENTRE LA EJECUCION DE LOS PLANES DE CONSTRUCCION, RECONSTRUCCION, REPARACION, MANTENIMIENTO DE LAS REDES SOTERRADAS, LA EJECUCION DE LOS TRABAJOS DE SENALIZACION Y DE VIALIDAD URBANA. A TALES EFECTOS, DETERMINAN LA
AUTORIDAD FACULTADA PARA OTORGAR LA LICENCIA DE OBRA.

",,0,-3-6-9-
32,ARTICULO 32,"En las vías urbanas y rurales se establece una faja de emplazamiento, que consiste en una franja de terreno destinada a su construcción y posterior conservación, dentro de la cual no puede haber ningún tipo de edificación u obstáculo que la afecte.
",10,"EN LAS VIAS URBANAS Y RURALES SE ESTABLECE UNA FAJA DE EMPLAZAMIENTO, QUE CONSISTE EN UNA FRANJA DE TERRENO DESTINADA A SU CONSTRUCCION Y POSTERIOR CONSERVACION, DENTRO DE LA CUAL NO PUEDE HABER NINGUN TIPO DE EDIFICACION U OBSTACULO QUE LA AFECTE.
",,0,-3-6-10-
33,ARTICULO 33,"En las vías rurales, su ancho está determinado por la suma del ancho de cada uno de los elementos componentes de la vía, los que se establecen mediante los documentos técnicos normativos, para reducir al mínimo el detrimento de las tierras agrícolas.
",10,"EN LAS VIAS RURALES, SU ANCHO ESTA DETERMINADO POR LA SUMA DEL ANCHO DE CADA UNO DE LOS ELEMENTOS COMPONENTES DE LA VIA, LOS QUE SE ESTABLECEN MEDIANTE LOS DOCUMENTOS TECNICOS NORMATIVOS, PARA REDUCIR AL MINIMO EL DETRIMENTO DE LAS TIERRAS AGRICOLAS.
",,0,-3-6-10-
